# YEA	MON	DAY	NAME

 1862	2	3	Hermant Abel
 1862	2	4	Estaunie Edouard
 1862	2	25	Le Cardonnel Louis
 1862	3	28	Gauthiez Pierre
 1862	4	3	Lievevrouw-Coopman Lodewijk
 1862	5	1	Prevost Marcel
 1862	5	5	Elskamp Max
 1862	6	2	Male Emile
 1862	8	17	Barres Maurice
 1862	8	29	Maeterlinck Maurice
 1862	9	26	Delbos Victor
 1862	9	27	Ghil Rene
 1862	12	8	Feydeau Georges
 1863	1	27	Frapie Leon
 1863	3	12	D'Annunzio Gabriele
 1863	3	17	Goffin Jean
 1863	6	6	Bierme Maria
 1863	6	10	Ajalbert Jean
 1863	7	7	Audoux Marguerite
 1863	7	14	Le Goffic Charles
 1864	1	17	Herr Lucien
 1864	2	22	Renard Jules
 1864	4	6	Fourest Georges
 1864	5	3	Chevrillon Andre
 1864	12	11	Leblanc Maurice
 1864	12	28	Regnier Henri
 1865	2	5	Fontainas Andre
 1865	3	10	Mulier Willem
 1865	7	31	Bremond Henri
 1865	8	25	Neveux Pol
 1866	1	29	Rolland Romain
 1866	2	7	Verhulst Raphael
 1866	2	25	Croce Benedetto
 1866	3	6	Dumas Georges
 1866	3	19	Bellessort Andre
 1866	3	25	Bertrand Louis
 1866	5	16	Marescotti Ercole
 1866	9	7	Bernard Tristan
 1866	9	8	Zamacois Miguel
 1866	12	1	Margueritte Victor
 1866	12	27	Mockel Albert
 1867	1	13	Seidel Albertus
 1867	4	14	Boylesve Rene
 1867	6	5	Toulet Paul
 1867	7	9	Lecomte Georges
 1867	7	19	Lalande Andre
 1867	7	22	Le Rouge Gustave
 1867	8	23	Schwob Marcel
 1867	9	21	Rictus Jehan
 1867	10	14	La Taihede Raymond
 1867	11	16	Daudet Leon
 1867	12	16	Assche Piet
 1867	12	25	Grassi-Bertazzi Giambattista
 1868	3	3	Alain (Chartier)
 1868	3	16	Desombiaux Maurice
 1868	4	1	Rostand Edmond
 1868	4	20	Maurras Charles
 1868	5	6	Leroux Gaston
 1868	5	23	Hardy Adolphe
 1868	6	12	Suares Andre
 1868	7	19	Nitti Francesco
 1868	7	28	Spire Andre
 1868	8	6	Claudel Paul
 1868	9	7	Scharten-Antink Margo
 1868	9	14	Botrel Theodore
 1868	9	24	Baumann Emile
 1868	10	6	Plemp Duiveland Lambertus
 1868	12	2	Jammes Francis
 1869	1	1	Vallee-Poussin Louis
 1869	3	24	Fabre Emile
 1869	5	31	Goyau Georges
 1869	6	10	Vanzype Louis
 1869	8	11	Briers Lumay
 1869	11	22	Gide Andre
 1869	11	23	Borel Henri
 1869	12	13	Pesquidoux Joseph
 1869	12	31	Gogh-Kaulbach Anna
 1870	1	22	Fonson Jean
 1870	5	14	Cauwenberghe Cesar
 1870	6	1	Bougle Celestin
 1870	6	18	Le Roy Edouard
 1870	8	1	Millandy Georges
 1870	9	29	Berkhout Anna
 1870	10	10	Raymondi Raimondo
 1870	11	29	Lichtenberger Andre
 1870	12	10	Louys Pierre
 1871	1	19	Caja Alessandro
 1871	5	8	Madelin Louis
 1871	6	4	Royere Jean
 1871	9	23	Roupnel Gaston
 1871	9	30	Fabricius Jan
 1871	10	3	Streuvels Stijn
 1871	10	30	Valery Paul
 1871	11	26	Sturzo Luigi
 1871	12	6	Gherardini Amedeo
 1872	1	2	Prevost Ernest
 1872	1	9	Delchevalerie Charles
 1872	1	18	Leautaud Paul
 1872	1	22	Fagus (Faillet)
 1872	2	1	Fort Paul
 1872	3	25	Melis Corn
 1872	4	4	Bataille Henry
 1872	5	12	Vermeylen Auguste
 1872	10	25	Franc-Nohain (Legrand)
 1872	10	27	Hof Jan
 1872	11	6	Cherau Gaston
 1872	11	25	Flers Robert
 1872	12	3	Barbarani Berto
 1872	12	12	Halevy Daniel
 1872	12	19	Sacchetti Renzo
 1873	1	7	Peguy Charles
 1873	1	20	Dornier Charles
 1873	1	28	Colette Gabrielle
 1873	1	29	Seche Alphonse
 1873	3	16	Alibert Francois
 1873	3	31	Gasquet Joachim
 1873	4	4	Faure Elie
 1873	5	9	Peeters Eduard
 1873	5	14	Vermaat Willemina
 1873	5	15	Foulon Vaulx Andre
 1873	5	16	Ferrand-Weyher Yvonne
 1873	5	17	Barbusse Henri
 1873	6	28	Carrel Alexis
 1873	9	8	Jarry Alfred
 1873	10	5	Chaudoir Georges
 1873	10	14	Gregh Fernand
 1873	10	26	Hervieu Louise
 1873	11	10	Guillaumin Emile
 1873	11	13	Orsini Luigi
 1873	12	29	Guerin Charles
 1873	12	29	Rey Abel
 1874	1	10	Mathiez Albert
 1874	1	13	Levet Henri
 1874	1	14	Bruggen Cornelis
 1874	1	15	Souchon Paul
 1874	1	19	Tinan Jean
 1874	2	28	Rosati Giuseppe
 1874	3	5	Strivay Renaud
 1874	4	1	Thibaudet Albert
 1874	4	14	Folie Franz
 1874	5	18	Tharaud Jerome
 1874	7	3	Valmy-Baisse Jean
 1874	7	14	Cartuyvels Maurice
 1874	8	4	Philippe Charles
 1874	8	8	Klingsor Tristan
 1874	10	6	Arbaud Joseph
 1874	11	3	Delarue-Mardrus Lucie
 1875	2	1	Doorn Willem
 1875	3	15	Gheon Henri
 1875	3	20	See Edmond
 1875	4	21	Siegfried Andre
 1875	4	23	Gijssels Willem
 1875	4	27	Baillon Andre
 1875	5	3	Marini Giuseppe
 1875	6	2	Leneru Marie
 1875	6	7	Calitri Antonio
 1875	9	3	Nosari Adone
 1875	9	5	Simoni Renato
 1875	9	15	Dumont-Wilden Louis
 1876	1	22	Croisset Francois
 1876	1	25	Varaldo Alessandro
 1876	1	31	Claeys Desire
 1876	4	12	Brehier Emile
 1876	4	22	Albert-Birot Pierre
 1876	4	23	Hamp Pierre
 1876	4	27	Farrere Claude
 1876	5	4	Rivalta Camillo
 1876	5	19	Saint-Georges Stephane
 1876	6	20	Bernstein Henry
 1876	7	12	Jacob Max
 1876	7	29	Chini Mario
 1876	8	11	Bocquet Leon
 1876	9	6	Delly Frederic
 1876	9	21	Offel Horace
 1876	9	30	Dauphin Fernand
 1876	10	31	Raalte Frederik
 1876	11	15	Noailles Anna
 1876	11	22	Monzi Anatole
 1876	12	8	Malegue Joseph
 1876	12	20	Fabietti Ettore
 1877	1	20	Roussel Raymond
 1877	2	21	Capart Jean
 1877	2	21	Pantini Romualdo
 1877	2	24	Lalo Charles
 1877	3	2	Magre Maurice
 1877	3	25	Chateaubriant Alphonse
 1877	3	28	Bertaut Jules
 1877	5	9	Tharaud Jean
 1877	5	11	Tegani Ulderico
 1877	5	15	Faure Gabriel
 1877	5	26	Schlumberger Jean
 1877	7	15	Giordana Tullio
 1877	8	12	Benelli Sem
 1877	9	2	Lipparini Giuseppe
 1877	11	6	Carletti Ercole
 1877	11	14	Clercq Rene
 1877	11	21	Porche Francois
