# YEA	MON	DAY	NAME

 1832	2	7	Gilbert Philippe
 1832	3	8	Schmit Nicolas
 1832	3	12	Friedel Charles
 1832	3	17	Knapp Jacob
 1832	3	26	Vitali Dioscoride
 1832	3	27	Heurtaux Alfred
 1832	5	9	Beranger Laurent
 1832	5	16	Dezanneau Alfred
 1832	6	23	Jäger Gustav
 1832	7	6	Hayoit Termicourt Emile
 1832	7	17	Mulder Eduard
 1832	7	18	Belval Theodore
 1832	7	28	Houzeau Charles
 1832	8	18	Rouche Eugene
 1832	8	27	Barella Hippolyte
 1832	9	6	Motet Auguste
 1832	9	21	Cailletet Louis
 1832	9	29	Labbe Leon
 1832	11	8	Gueniot Alexandre
 1832	12	28	Suringar Willem
 1833	2	4	Mallard Ernest
 1833	4	4	Lietard Alexandre
 1833	4	18	Perrier Francois
 1833	5	19	Gayet Charles
 1833	7	2	Paul Charles
 1833	7	19	Berg Franciskus
 1833	7	28	Haton Goupilliere Julien
 1833	8	10	Sarazin Charles
 1833	8	27	Bertin Georges
 1833	10	29	Planchon Francois
 1833	11	27	Vallin Emile
 1833	12	2	Morren Edouard
 1833	12	3	Crova Andre
 1833	12	6	Perez Jean
 1833	12	11	Folie Joacob
 1833	12	14	Magitot Emile
 1833	12	18	Bouchard Henri
 1833	12	30	Fleury Gustave
 1834	1	5	Ithier P
 1834	1	13	Bienayme Arthur
 1834	1	14	Sabatier Armand
 1834	2	21	Cornet Francois
 1834	3	10	Combalat Barthelemy
 1834	3	18	Proust Adrien
 1834	4	9	Laguerre Edmond
 1834	4	24	Gernez Desire
 1834	5	12	Soulier Henri
 1834	7	5	Raynaud Maurice
 1834	7	12	Ranse Felix
 1834	7	26	Vidal Emile
 1834	7	27	Chedevergne Antoine
 1834	8	15	Krieger Josef
 1834	9	7	Baillet Louis
 1834	9	25	Monckhoven Desire
 1834	10	7	Boddaert Richard
 1834	11	7	Malaise Constantin
 1834	11	29	Peron Alphonse
 1834	12	8	Tillaux Paul
 1834	12	26	Henry Louis
 1834	12	30	Guilleaume Franz
 1835	2	13	Mensbrugghe Gustave
 1835	3	16	Magnan Jacques
 1835	6	23	Deneffe Victor
 1835	7	3	Grimaux Edouard
