# 2154 French Physicians, Military Men and Executives. Serie E, volume 1 : from 1901 to 1963 
# http://cura.free.fr/gauq/902gdE1.html
# 沒有地點的經緯度！
# NUM	  PRO      NAME              	             DAY   MON   YEA     H        CITY                     COD

0179    MI       BOILEAU Maurice                 25    11    1914    12:15    Metz                      57
0180    MI       BOISREDON Jacques de            18    07    1907    08:00    Sadirac                   33
0181    PH       BOISSIER Jacques-Robert         02    12    1921    23:00    Avrancheg                 51
0182    MI     L BOISSIEU Alain de               05    07    1914    07:00    Chartres                  28
0183    PH       BUITEUX Maurice                 21    06    1919    16:00    Clermont-Ferrand          63
0184    PH       BOIVIN Jean-Marie               29    09    1909    20:00    Bléré                     37
0185    MI     L BOLLAERT Emile                  13    11    1890    07:00    Dunkerque                 59
0186    MI     L BOLLARDIERE Jecques de          16    12    1907    23:00    Chateaubriant             44
0187    PH       BOLLINELLI Raymond              26    05    1914    20:00    Mazamet                   81
0188    MI       BOLOTTE Marcel                  26    02    1887    02:00    Dinan                     22
0189    EX       BONDEVILLE Emmanuel             29    10    1898    08:00    Rouen                     76
0190    EX       BONDOUX Jean                    19    03    1925    06:30    Anor                      59
0191    PH       BONDUELLE Michel                29    04    1912    05:00    Château-Gontier           53
0192    MI       BONGRAIN Hervé                  23    01    1922    20:00    Brest                     29
0193    EX       BONGRAND Michel                 30    12    1921    02:00    Colombes                  92
0194    MI       BONNARD Yvon                    31    03    1912    23:00    Nancy                     54
0195    EX       BONNE André                     21    06    1921    14:00    Trévien                   81
0196    MI       BONNEAU Raymond                 24    09    1888    16:00    Vérines                   17
0197    PH     - BONNEFOUS Louis                 01    04    1907    01:00    Rodez                     12
0198    PH     - BONNEFOUS Raymond               08    05    1893    22:00    Rodez                     12
0199    MI       BONNEL Paul                     11    07    1912    00:15    Bourges                   18
0200    MI       BONNET Georges                  10    03    1894    00:45    La Fère                   02
0201    PH       BONNET Georges                  02    10    1908    19:00    Cusset                    03
0202    MI       BONNET Raymond                  03    12    1912    21:55    Rochefort-sur-Mer         17
0203    PH       BONVALLET Jacques               23    09    1913    11:00    Trélazé                   49
0204    MI     L BOQUET François                 30    01    1913    01:00    Nancy                     54
0205    EX       BORDAS Pierre                   05    07    1913    09:00    Carcassonne               11
0206    EX       BOREL Jacques                   09    04    1927    21:00    Courbevoie                92
0207    PH       BORREY Francis                  08    04    1904    06:00    Besançon                  25
0208    MI     * BOUCHER Hélène                  23    05    1908    11:00    Paris 14ème               75
0209    PH       BOUCHET Alain                   03    02    1926    23:30    Domène                    38
0210    PH       BOUCHET André                   10    04    1892    03:30    Creil                     60
0211    EX       BOUCHEZ Pierre                  29    10    1899    19:00    Reims                     51
0212    MI       BOUCHINET-SERREULLES Claude     26    01    1912    11:00    Paris 17ème               75
0213    EX       BOUDET René                     08    05    1915    13:00    Beaussault                76
0214    PH       BOUDIN Georges                  03    09    1906    23:00    Oyonnax                   01
0215    PH       BOUDOURESQUES Jacques           19    11    1910    10:00    Tavaux-Pontséricourt      02
0216    MI     L BOUGES-MAUNOURY Maurice         19    08    1914    04:00    Luisant                   28
0217    PH       BOUISSET Louis                  15    02    1898    15:00    Carcassonne               11
0218    MI       BOULANGER Pierre                07    05    1908    13:00    St Mihiel                 55
0219    PH       BOULANGER Paul                  21    11    1905    20:45    Roubaix                   59
0220    EX       BOULAT Louis                    22    08    1904    16:00    Martigues                 13
0221    PH       BOULENGER Pierre                27    10    1910    06:30    Choisy le Roi             94
0222    EX       BOULET Jean-Claude              11    12    1941    09:30    Chambéry                  73
0223    EX       BOULEZ Pierre                   26    03    1925    17:00    Montbrison                42
0224    MI     L BOULLOCHE André                 07    09    1915    09:30    Paris 7ème                75
0225    PH       BOURBON Pierre                  20    09    1923    05:30    St Laurent de Cervons     66
0226    EX       BOURCIER DE CARBON Christian    15    02    1912    15:00    Pouancé                   49
0227    MI       BOURDAIS Yves                   29    02    1916    18:00    St Quay-Portrieux         22
0228    PH       BOURDIAL Jean                   07    03    1905    23:00    Allassac                  19
0229    EX       BOURDOS Yves                    09    09    1908    08:00    Marmande                  47
0230    MI       BOURGEOIS Adrien                01    03    1874    07:00    Silly le Long             60
0231    EX       BOURGOIS Christian              21    09    1933    04:00    Antibes                   06
0232    MI       BOURGUND Gabriel                17    05    1898    14:00    Langres                   52
0233    MI       BOURLAUD Jacques                23    12    1919    06:00    Poitiers                  86
0234    PH       BOURRET Paul                    23    06    1918    22:00    Nice                      06
0235    MI       BOUSCAT René                    07    09    1891    23:00    Thuir                     66
0236    EX       BOUSQUET Jacques                17    02    1919    01:30    Neuilly sur Seine         92
0237    EX       BOUSSAC Marcel                  17    04    1889    06:00    Châteauroux               36
0238    PH     - BOUSSELY Guy                    16    03    1929    17:30    St-Méard                  87
0239    EX       BOUTEVILAIN Robert              21    03    1907    15:00    Saujon                    17
0240    MI       BOUVARD Michel                  15    06    1905    05:00    Barbechat                 44
0241    MI       BOUVARRE Pierre                 13    09    1910    10:00    Coudekerque               59
0242    MI       BOUVET Georges                  06    05    1902    09:30    Issoudun                  36
0243    PH       BOUVIER Jean-Baptiste           02    08    1911    04:00    Vollore-Ville             63
0244    PH     - BOUVIER Joseph                  02    05    1883    17:00    Reims                     51
0245    PH       BOUVIER Roger                   27    01    1924    05:30    Arrancy                   02
0246    PH       BOUYARD Pierre                  11    05    1926    18:00    Uzés                      30
0246b   EX       BOUYGUES Francis                05    12    1922    09:00    Paris 17ème               75
0247    MI       BOYER Jean Louis                07    04    1899    04:00    Le Creusot                71
0248    EX       BRANA Guy                       18    08    1924    13:45    Bonloc                    64
0249    MI       BRARD Roger                     17    06    1907    03:00    Pontivy                   56
0250    MI       BREBISSON Michel                07    04    1905    16:00    Vierzon                   18
0251    PH       BREGEAT Paul                    12    11    1909    18:30    Vieux-Mareuil             24
0252    EX       BREMOND Emile                   02    04    1890    14:00    Beaume les Dames          25
0253    MI     * BRESSONNET François             08    07    1824    19:00    Montbard                  21
0254    PH     + BRESSOU Clément                 22    02    1887    20:00    Montauban                 82
0255    PH     + BRETEY Jean                     20    07    1903    20:00    Vandoncourt               25
0256    PH       BRETTE René                     26    04    1920    17:00    Lyon 6ème                 69
0257    MI       BREUILLAC Jean                  12    01    1890    05:00    Séziers                   34
0258    EX       BRIDET Christine                05    10    1925    05:00    Neuilly sur Seine         92
