# YEA	MON	DAY	NAME

 1839	6	18	Herrmann Emile
 1839	7	20	Jacob Eugene
 1839	8	5	Cotte Charles
 1839	8	16	Laurent Bernard
 1839	8	22	Maulard Francois
 1839	8	25	Chape Henri
 1839	9	5	Ghilain Leon
 1839	9	5	Kah Alexandre
 1839	9	10	Jandot Paul
 1839	9	11	Godefroy Victor
 1839	10	24	Roques Jean
 1839	10	27	Labatut Theophile
 1839	12	19	Richard Louis
 1839	12	30	Truy Adolphe
 1840	1	16	Bernhard Urbain
 1840	1	22	Deslandres Adolphe
 1840	1	27	Bergalonne Gabriel
 1840	1	29	Roubie Guillaume
 1840	1	30	Berthelemy Alfred
 1840	2	2	Bourgault-Ducoudray Louis
 1840	2	11	Jean Adolphe
 1840	2	12	Jullien Paul
 1840	3	15	Bannelier Louis
 1840	4	2	Hausser Charles
 1840	4	3	Mullot Louis
 1840	4	12	Audran Edmond
 1840	4	16	Discher Antoine
 1840	7	16	Berceaux Eugene
 1840	8	1	Bonnet Alexandre
 1840	9	24	Garcin Pierre
 1840	10	18	Lardeur Henry
 1840	10	26	Peron Augustin
 1840	11	19	Puech Louis
 1840	12	15	Aynie Francois
 1840	12	21	Braquet Charles
 1841	1	12	Hesse Georges
 1841	1	16	Iung Charles
 1841	1	18	Chabrier Emmanuel
 1841	2	27	Jacob Louis
 1841	3	9	Varnaison Joseph
 1841	3	19	Sallis Jean
 1841	3	20	Sutter Benoit
 1841	4	5	Delarroqua Leon
 1841	4	11	Hemme Constant
 1841	5	12	Reynaud Joseph
 1841	8	11	Leonard Joseph
 1841	8	16	Jolivet Francois
 1841	9	18	Fanton Jules
 1841	11	10	Thuillier Edouard
 1841	11	14	Breitel Aime
 1841	11	24	Willaume Jules
 1841	11	26	Denoits Victorin
 1841	12	7	Merle Dominique
 1842	1	7	Reinhard Leon
 1842	1	16	Lemaire Jean
 1842	1	19	Bernard Louis
 1842	1	22	Marechal Charles
 1842	1	23	Gatin Firmin
 1842	1	31	Garrigue Jean
 1842	2	16	Bagarre Ambroise
 1842	3	14	Hitzemann Ildephonse
 1842	4	11	Ghilain Henri
 1842	4	13	Martin Theodore
 1842	4	15	Bricart Artidor
 1842	4	18	Boudet Edouard
 1842	4	21	Japy Louis
 1842	5	12	Massenet Jules
 1842	5	30	Baussart Frederic
 1842	7	10	Bastide-Godefroid Paul
 1842	8	13	Gatellier Louis
 1842	8	25	Lizat Jacques
 1842	8	30	Duvernoy Victor
 1842	10	1	Lancheney Louis
 1842	10	2	Paulet Jacques
 1842	11	30	Baresse Louis
 1842	12	3	Lavagne Jacques
 1842	12	12	Pouche Charles
 1842	12	13	Donat Marthe
 1843	1	20	Cousin Jean
 1843	2	1	Dagard Marius
 1843	4	8	Quinzard Henri
 1843	6	6	Gaurion Stephane
 1843	6	19	Lefebvre Charles
 1843	7	13	Vautrin Nicolas
 1843	7	14	Vygen Eugene
 1843	8	10	Boulart Charles
 1843	9	10	Muller Henry
 1843	9	13	Paquotte Auguste
 1843	9	20	Vincent Raymond
 1843	10	1	Barrez Victor
 1843	10	8	Wittmann Gustave
 1843	10	27	Courtin Florimond
 1843	10	29	Cabassol Jean
 1843	10	31	Delattre Charles II
 1843	11	23	Amrhein Simon
 1843	11	24	Mellet Jean
 1843	11	29	Ducarne Fulgence
 1843	12	5	Bernhard Joseph
 1843	12	5	Odinot Gustave
 1844	1	2	Charpentier Hippolyte
 1844	1	13	Maurer Francois
 1844	1	26	Laffage Joseph
 1844	2	2	Vallet Marie
 1844	2	7	Gary Jean
 1844	2	21	Widor Charles
 1844	2	29	Jacob Baptiste
 1844	3	23	Gigout Eugene
 1844	4	4	Bangratz Joseph
 1844	4	14	Achard Francois
 1844	5	5	Vidal Auguste
 1844	5	12	Rutain Jean
 1844	5	25	Bouquet Eugene
 1844	6	3	Paladilhe Emile
 1844	6	17	Duvernoy Charles
 1844	7	7	Clamens Adolphe
 1844	7	9	Marcouyeu Jean
 1844	7	13	Niverd Remi
 1844	7	16	Denni Philippe
 1844	7	21	Wettge Gustave
 1844	8	11	Pernet Nicolas
 1844	9	3	Oyer Alfred
 1844	9	11	Brunard Henry
 1844	9	15	Brunel Louis
 1844	10	12	Pfersdorff Victor
 1844	10	26	Morin Joseph
 1844	11	2	Bouzerand Jules
 1844	11	7	Crongny Hippolyte
 1844	11	24	Delsart Jules
 1844	12	8	Thevelin Albert
 1844	12	13	Wintz Weiller Eugene
 1844	12	19	Charlier Jean
 1844	12	23	Bernard Charles I
 1844	12	25	Mastio Eugene
 1844	12	27	Larrieux Etienne
 1844	12	30	Pernot Ferdinand
 1845	1	7	Paroche Louis
 1845	1	9	Michel Gedeon
 1845	2	6	Martin Joachim
 1845	2	11	Starck Charles
 1845	3	1	Poulet Leopold
 1845	3	5	Ammann Charles
 1845	3	7	Garnier Paul
 1845	3	8	Muratet Antonys
 1845	3	18	Bonade Louis
 1845	3	22	Salomon Louis
 1845	3	27	Truffot Jean
 1845	4	12	Etterlen Francois
 1845	4	13	Abarca Francois
 1845	4	28	Moulle Eugene
 1845	5	12	Faure Gabriel
 1845	5	14	Grimal Antoine
 1845	5	19	Schmidt Charles
 1845	5	25	Kern Jean
 1845	6	8	Veyret Georges
 1845	6	10	Dossunet Gabriel
 1845	6	16	Ansart Leandre
 1845	6	20	Gogue Antoine
 1845	6	21	Denizot Pierre
 1845	7	6	Schmelz Eugene
 1845	7	7	Claveau Henri
 1845	7	20	Fargues Charles
 1845	7	21	Loewenthal Nathan
 1845	7	27	Marx Edouard
 1845	8	8	Richard Jean
 1845	9	8	Boisseau Arthur
 1845	9	9	Meyer Baruch
 1845	9	10	Huguet Gabriel
 1845	9	13	Covin Henri
 1845	9	21	Dourthe Joseph
 1845	10	10	Esclobas Louis
 1845	10	12	Humblot Joseph
 1845	10	17	Chavagnat Anne
