# http://cura.free.fr/gauq/902gdE2e.html
# 11370 New Birth Data (PARIS 15). Series E, volume 2e
# Children born in the years 1923 to 1929 and 1933 to 1935 (Unpublished Data)
# Series E: Planetary Heredity. A Reappraisal on 50,000 subjects (Volume 2e)
# by Michel et Françoise GAUQUELIN
# [3rd CURA's edition, revised by Patrice Guinard : February 2009]
# 沒有醫院資料 , 地點都在巴黎

# Notice , 8224沒有NUM ,手動補上

# NUM : Number : from 1 to 11371 (n. 8870 doesn't exist)
# SEX : M = mother ; F = father ; D = daughter ; S = son
# 沒有 PL (出生地點) !
# DAY : Day of birth
# MON : Month of birth
# YEA : Year of birth
# H : Hour of birth ; Birthtime is converted to standard time, either for zone 0 (= GMT) or -1 (= CET)
# MN : Minutes
# SEC : Seconds
# Ci : Ci code (see the Introduction), sometimes missing
# TZ : Time Zone at the place of birth and date of birth (0 or -1)
# LAT : Latitude of Birth place
# LON : Longitude of Birth place
# COD : Abbreviated Code of Birth place indicating the French "Département"
# (The Birth place is not mentioned)

# 0    1   2   3   4  5  6   7   8   9       10      11  12
# NUM	SEX	DAY	MON	YEA	H	MN	SEC	Ci	TZ      LAT     LON	COD

185	M	14	03	1889	07	50	40	09	0	48N50	2E20	75
186	S	26	12	1925	07	30	0	0	0	48N50	2E20	75
187	F	18	08	1884	11	50	40	01	0	48N50	2E20	75
188	M	23	07	1889	17	50	40	01	0	48N50	2E20	75
189	D	30	11	1923	12	0	0	08	0	48N50	2E20	75
190	F	06	11	1884	14	35	40	07	0	48N50	2E20	75
191	M	16	09	1892	06	50	40	11	0	48N50	2E20	75
192	S	22	02	1925	02	0	0	0	0	48N50	2E20	75
193	D	01	08	1926	01	0	0	13	0	48N50	2E20	75
194	F	20	11	1884	02	35	40	05	0	48N50	2E20	75
195	M	06	04	1887	16	50	40	15	0	48N50	2E20	75
196	D	30	03	1923	16	0	0	03	0	48N50	2E20	75
197	F	22	11	1884	20	50	40	0	0	48N50	2E20	75
198	M	14	12	1885	17	50	40	05	0	48N50	2E20	75
199	S	08	11	1923	01	0	0	01	0	48N50	2E20	75
200	F	04	12	1884	05	50	40	05	0	48N50	2E20	75
201	M	05	12	1886	20	50	40	11	0	48N50	2E20	75
202	S	21	11	1925	18	30	0	0	0	48N50	2E20	75
203	F	11	12	1884	09	50	40	10	0	48N50	2E20	75
204	M	24	04	1896	12	20	40	12	0	48N50	2E20	75
205	S	28	11	1923	18	0	0	08	0	48N50	2E20	75
206	F	21	12	1884	06	20	40	07	0	48N50	2E20	75
207	M	16	06	1891	21	50	40	07	0	48N50	2E20	75
208	S	11	10	1923	07	10	0	09	0	48N50	2E20	75
209	F	24	12	1884	02	50	40	06	0	48N50	2E20	75
210	M	09	04	1892	17	50	40	13	0	48N50	2E20	75
211	D	28	12	1926	05	30	0	09	0	48N50	2E20	75
212	F	28	12	1884	11	50	40	12	0	48N50	2E20	75
213	M	08	09	1889	04	55	0	10	0	45N50	1E15	87
214	D	26	10	1926	15	0	0	03	0	48N50	2E20	75
215	S	03	06	1928	0	10	0	07	0	48N50	2E20	75
216	F	17	01	1885	07	50	40	07	0	48N50	2E20	75
217	M	09	12	1887	10	50	40	01	0	48N50	2E20	75
218	D	03	04	1924	10	20	0	07	0	48N50	2E20	75
219	F	02	02	1885	07	20	40	01	0	48N50	2E20	75
220	M	18	09	1886	02	50	40	02	0	48N50	2E20	75
221	D	23	12	1923	02	10	0	10	0	48N50	2E20	75
222	D	05	10	1928	10	55	0	10	0	48N50	2E20	75
223	F	04	02	1885	22	50	40	07	0	48N50	2E20	75
224	M	30	10	1888	01	20	40	08	0	48N50	2E20	75
225	S	24	05	1924	22	30	0	10	0	48N50	2E20	75
226	F	17	02	1885	06	50	40	09	0	48N50	2E20	75
227	M	05	01	1886	20	50	40	08	0	48N50	2E20	75
228	S	02	04	1923	05	0	0	01	0	48N50	2E20	75
229	S	20	12	1924	21	50	0	12	0	48N50	2E20	75
230	F	20	02	1885	11	54	40	01	0	47N35	1E20	41
231	M	02	02	1899	07	50	40	06	0	48N50	2E20	75
232	D	19	06	1923	02	0	0	03	0	48N50	2E20	75
233	F	20	02	1885	19	50	40	01	0	48N50	2E20	75
234	M	15	03	1886	0	50	40	04	0	48N50	2E20	75
