# 新版 http://cura.free.fr/gauq/902gdA5.html
# 舊版 http://cura.free.fr/gauq/11gdA5a.txt
# Actor 演員 , 1408位

# PRO	NUM	COU	DAY	MON	YEA	H	MN	SEC	TZ	LAT	LON	COD	CITY	

A	162	F	28	11	1897	6	50	40	0	48N33	2E40	77	FONTAINEBLEAU
A	163	F	29	11	1909	1	50	40	0	48N55	2E30	93	BAGNOLET
A	164	F	26	4	1893	19	50	40	0	44N12	0E38	47	AGEN
A	165	F	24	7	1924	13	0	0	0	45N11	5E43	38	GRENOBLE
A	166	F	22	8	1901	9	50	40	0	45N50	1E15	87	NEXON
A	167	F	23	11	1838	16	50	40	0	48N50	2E20	75	PARIS
A	168	F	27	9	1840	1	58	40	0	46N35	0E20	86	LUSIGNAN
A	169	F	13	12	1870	20	35	12	0	48N42	6E12	54	NANCY
A	170	F	27	10	1824	7	50	40	0	48N36	2E20	91	ETAMPES
A	171	F	12	9	1888	1	50	40	0	48N50	2E20	75	PARIS 20E
A	172	F	16	2	1870	6	34	40	0	46N 9	1W10	17	PONS
A	173	F	2	12	1804	14	39	20	0	48N46	5E10	55	STENAY
A	174	F	18	3	1913	2	30	0	0	44N56	4E54	26	ROMANS-S/ISERE
A	175	F	18	5	1819	22	50	40	0	48N50	2E20	75	PARIS
A	176	F	17	5	1920	13	0	0	0	44N50	0W34	33	EYSINES
A	177	F	10	5	1894	15	50	40	0	45N11	0E44	24	PERIGUEUX
A	178	F	28	3	1927	1	0	0	0	48N50	2E11	92	NEUILLY
A	179	F	7	8	1918	7	0	0	0	43N18	5E22	13	MARSEILLE
A	180	F	11	4	1844	19	15	40	0	47N48	3E35	89	AVALLON
A	181	F	22	12	1832	18	50	40	0	48N50	2E20	75	PARIS
A	182	F	17	9	1866	20	15	40	0	48N36	2E20	91	STE-GENEVIEVE-D
A	183	F	14	12	1847	20	45	40	0	47N48	3E35	89	AUXERRE
A	184	F	15	7	1930	23	30	0	0	49N34	3E37	02	HOMBLIERES
A	185	F	5	11	1808	20	48	56	0	50N18	2E46	62	BOULOGNE-S-MER
A	186	F	25	7	1923	1	30	0	0	49N 0	2E 0	95	ENGHIEN-LES-BAIN
A	187	F	4	2	1879	9	50	40	0	48N50	2E20	75	PARIS 10E
A	188	F	23	1	1841	12	18	56	0	50N18	2E46	62	BOULOGNE-S-MER
A	189	F	16	5	1848	20	48	56	0	50N18	2E46	62	BOULOGNE-S-MER
A	190	F	9	5	1866	21	6	40	0	48N 7	1W40	35	ST-MALO
A	191	F	9	12	1898	14	50	40	0	48N47	2E29	94	VITRY-S/SEINE
A	192	F	19	3	1894	21	5	40	0	49N26	2E 5	60	BEAUVAIS
A	193	F	5	4	1916	1	0	0	0	48N36	2E20	91	BRUNOY
A	194	F	21	10	1931	2	40	0	0	48N50	2E11	92	ST-CLOUD
A	195	F	23	4	1838	21	40	40	0	46N18	4E50	71	CHALON-S/SAONE
A	196	F	23	9	1880	8	52	24	0	47N54	1E54	45	BEAUGENCY
A	197	F	28	6	1909	10	50	40	0	48N55	2E30	93	VAUJOURS
A	198	F	12	7	1908	11	50	40	0	48N 7	1W40	35	SAINT-MALO
A	199	F	31	3	1902	17	35	40	0	48N42	6E12	54	LUNEVILLE
A	200	F	15	8	1893	10	50	40	0	48N57	4E22	51	CHALONS-S/MARNE
A	201	F	30	11	1924	11	0	0	0	50N39	3E 5	59	LA MADELEINE-LE
A	202	F	19	7	1903	9	20	40	0	46N19	0W27	79	CELLES-S/BELLES
A	203	F	11	3	1908	10	20	40	0	49N 7	1W 5	50	SOURDEVAL-LA-BA
A	204	F	31	12	1871	5	35	12	0	48N42	6E12	54	NANCY
A	205	F	14	1	1893	5	20	40	0	48N50	2E 8	78	CHATOU
A	206	F	10	1	1839	7	39	20	0	48N46	5E10	55	BAR-LE-DUC
A	207	F	7	1	1801	1	49	20	0	48N33	2E40	77	BRIE-COMTE-ROBE
A	208	F	14	1	1924	16	0	0	0	47N40	2W44	56	AURAY
A	209	F	6	5	1852	3	50	40	0	48N50	2E20	75	PARIS
A	210	F	9	5	1840	12	53	16	0	46N49	1E41	36	MARTIZAY
A	211	F	27	10	1923	17	0	0	0	43N42	7E16	06	NICE
A	212	F	1	5	1863	10	50	4	0	48N47	2E29	94	CHAMPIGNY
A	213	F	24	6	1929	2	0	0	0	50N39	3E 5	59	DOUAI
A	214	F	11	9	1925	9	0	0	0	49N46	4E44	08	ARNICOURT
A	215	F	1	5	1917	20	0	0	0	44N50	0W34	33	BORDEAUX
A	216	F	10	9	1912	5	0	0	0	43N18	0W22	64	BIARRITZ
A	217	F	24	5	1913	12	0	0	0	43N42	7E16	06	NICE
A	218	F	7	5	1837	7	6	20	0	47N13	1W35	44	NANTES
A	220	F	19	8	1903	14	0	40	0	48N36	2E20	91	CORBEIL
A	221	F	24	9	1906	4	50	40	0	49N 1	1E11	27	EVREUX
A	222	F	26	11	1808	17	39	20	0	48N46	5E10	55	VERDUN
A	223	F	15	10	1911	2	0	0	0	48N50	2E11	92	PUTEAUX
A	224	F	28	3	1923	3	0	0	0	42N42	2E55	66	PERPIGNAN
A	225	F	4	5	1920	23	30	0	0	48N50	2E 8	78	MAISONS-LAFFITTE
A	226	F	5	5	1879	5	35	24	0	47N37	6E 9	70	BOULIGNEY
A	227	F	12	11	1910	1	50	40	0	48N55	2E30	93	AULHAY-S/S-BOIS
A	228	F	29	8	1848	17	35	16	0	49N 7	6E11	57	GORZE
A	229	F	25	7	1865	15	54	40	0	47N35	1E20	41	BLOIS
A	230	F	7	8	1871	14	45	32	0	49N34	3E37	02	FRESNOY-LE-GRAN
A	231	F	30	8	1798	3	50	40	0	48N50	2E20	75	PARIS
A	232	F	2	3	1898	9	50	40	0	48N55	2E30	93	AUBERVILLIERS
A	233	F	14	6	1841	0	51	28	0	48N50	2E 8	78	NEAUPHLE-LE-CHA
A	234	F	31	12	1917	14	0	0	0	48N50	2E20	75	PARIS 18E
A	235	F	6	1	1801	3	50	40	0	48N50	2E20	75	PARIS
A	236	F	30	6	1833	4	50	40	0	48N50	2E20	75	PARIS
A	237	F	8	2	1845	2	50	40	0	48N50	2E20	75	PARIS
A	238	F	9	4	1913	20	30	0	0	48N50	2E11	92	COLOMBES
A	239	F	6	2	1817	19	48	56	0	50N18	2E46	62	ARRAS
A	240	F	27	9	1838	21	50	40	0	48N50	2E20	75	PARIS
A	241	F	21	3	1826	10	50	40	0	48N50	2E20	75	PARIS
A	242	F	17	6	1862	16	50	40	0	48N50	2E20	75	PARIS 9E
A	243	F	9	10	1926	4	0	0	0	48N50	2E11	92	LEVALLOIS-PERRET
A	244	F	10	4	1868	1	42	32	0	48N57	4E22	51	AVIZE
A	245	F	6	9	1831	21	54	0	0	48N27	1E30	28	ORGERES
A	246	F	6	12	1823	18	50	40	0	48N50	2E20	75	PARIS
A	247	F	1	9	1885	7	20	40	0	48N50	2E20	75	PARIS 18E
A	248	F	10	3	1923	16	0	0	0	47N40	2W44	56	HENNEBONT
A	249	F	20	7	1923	19	0	0	0	49N 0	2E 0	95	ST-LEU-LA-FORET
A	250	F	15	3	1904	22	0	40	0	50N39	3E 5	59	LILLE
A	251	F	16	11	1836	1	50	40	0	48N50	2E20	75	PARIS
A	252	F	17	9	1863	16	45	40	0	47N48	3E35	89	AUXERRE
A	253	F	10	7	1838	17	40	40	0	45N46	4E50	69	LYON
A	254	F	22	6	1845	0	48	56	0	50N18	2E46	62	CALAIS
A	255	F	9	11	1894	3	50	40	0	47N35	1E20	41	ST-LUBIN-EN-V
A	256	F	27	3	1865	8	46	40	0	46N34	3E20	03	GANNAT
A	257	F	8	5	1911	20	0	0	0	49N 0	2E 0	95	SANNOIS
A	258	F	8	9	1904	21	50	40	0	45N46	4E50	69	COLLONGES-AU-MO
A	259	F	19	2	1852	9	51	40	0	49N26	2E 5	60	NOAILLES
A	260	F	19	7	1929	19	25	0	0	50N18	2E46	62	BOULOGNE-S-MER
A	261	F	13	11	1891	22	20	40	0	46N 9	1W10	17	LA ROCHELLE
A	262	F	26	12	1871	10	55	40	0	49N26	1E 5	76	ORIVAL
A	263	F	24	11	1920	3	0	0	0	43N18	5E22	13	MARSEILLE
A	264	F	13	3	1848	5	50	40	0	48N50	2E20	75	PARIS
A	265	F	6	1	1798	20	10	56	0	47N40	2W44	56	LORIENT
A	266	F	11	12	1920	10	0	0	0	50N39	3E 5	59	DOUAI
A	267	F	7	2	1926	16	30	0	0	45N54	6E 7	74	CHAMBERY
A	268	F	20	10	1822	19	10	56	0	47N40	2W44	56	HENNEBONT
A	269	F	23	5	1869	13	50	40	0	48N50	2E20	75	PARIS 10E
A	270	F	3	6	1921	1	0	0	0	45N11	5E43	38	GRENOBLE
A	271	F	10	4	1806	7	6	40	0	48N 7	1W40	35	FOUGERES
A	272	F	4	7	1847	6	59	12	0	48N 1	0E12	72	BEAUMONT
A	273	F	3	8	1926	2	0	0	0	48N57	4E22	51	EPERNAY
A	274	F	7	5	1922	19	0	0	0	43N37	1E26	31	TOULOUSE
A	275	F	10	9	1908	22	50	40	0	47N15	6E 2	25	BESANCON
A	276	F	17	3	1834	4	59	40	0	48N26	0E 5	61	ALENCON
A	277	F	26	7	1906	14	50	40	0	46N18	4E50	71	LUXEUIL-BAINS
A	278	F	5	6	1777	10	47	40	0	50N39	3E 5	59	SAINT-SAULVES
A	279	F	19	2	1914	14	30	0	0	44N50	0W34	33	BEGLES
A	280	F	24	8	1887	9	55	0	0	45N50	1E15	87	LIMOGES
A	281	F	9	1	1915	8	35	0	0	48N50	2E 8	78	CHATOU
A	282	F	23	8	1844	21	50	40	0	48N50	2E20	75	PARIS
A	283	F	11	12	1911	16	0	0	0	43N18	0W22	64	ANGLET
A	284	F	12	5	1885	1	6	20	0	45N34	5E55	73	YENNE
A	285	F	17	6	1831	4	49	20	0	48N33	2E40	77	LIEUSANT
A	286	F	1	3	1846	4	40	40	0	45N46	4E50	69	LYON
A	287	F	14	11	1906	15	50	40	0	48N36	2E20	91	MONTLHERY
A	288	F	9	1	1849	1	50	40	0	48N50	2E20	75	PARIS
A	289	F	31	5	1791	4	47	40	0	50N39	3E 5	59	VALENCIENNES
A	290	F	8	4	1844	3	52	24	0	47N54	1E54	45	PUISEAUX
A	291	F	16	8	1824	8	20	40	0	48N50	2E20	75	PARIS
A	292	F	4	10	1919	19	0	0	0	48N50	2E11	92	COURBEVOIE
A	293	F	28	11	1874	9	42	28	0	45N26	4E23	42	LA RICAMARIE
A	294	F	23	3	1928	10	5	0	0	48N35	7E45	67	STRASBOURG
A	295	F	3	8	1904	21	50	40	0	49N54	2E18	80	AULT
A	296	F	14	11	1892	3	50	40	0	48N50	2E20	75	PARIS 15E
A	297	F	20	2	1863	16	24	40	0	44N 1	1E20	82	VALENCE
A	298	F	17	4	1871	19	48	0	0	36N47	3E 0	ALG	ALGER
A	299	F	1	10	1843	19	2	16	0	43N40	0E36	32	NOGARO
A	300	F	5	6	1917	2	0	0	0	45N26	4E23	42	BOURG-ARGENTAL
A	301	F	16	12	1919	21	0	0	0	43N18	0W22	64	ST-JEAN-DE-LUZ
A	302	F	7	11	1899	0	50	40	0	43N18	5E22	13	SALON-DE-PROVENC
A	303	F	4	4	1884	10	15	40	0	47N48	3E35	89	SENS
A	304	F	3	3	1886	10	32	32	0	47N38	6E52	90	BELFORT
A	305	F	17	12	1857	0	52	0	0	49N 0	2E 0	95	TAVERNY
A	306	F	14	8	1874	13	50	40	0	48N50	2E20	75	PARIS 6E
A	307	F	30	7	1923	4	0	0	0	49N 1	1E11	27	VERNON
A	308	F	31	12	1929	0	30	0	0	48N27	1E30	28	AUNEAU
A	309	F	21	3	1819	8	54	16	0	43N37	1E26	31	TOULOUSE
A	310	F	25	9	1835	18	50	40	0	48N50	2E20	75	PARIS
A	311	F	16	2	1833	3	39	52	0	47N19	5E 2	21	BEAUNE
A	312	F	14	10	1922	10	0	0	0	45N46	4E50	69	FONTAINES-S/SAO
A	313	F	10	3	1850	14	50	40	0	48N50	2E20	75	PARIS
A	314	F	23	10	1824	1	50	40	0	48N50	2E20	75	PARIS
A	315	F	6	7	1830	16	32	8	0	47N28	0W32	49	SAUMUR
A	316	F	11	3	1836	4	50	40	0	48N50	2E20	75	PARIS
A	317	F	24	4	1870	0	55	40	0	49N26	1E 5	76	LE HAVRE
A	318	F	30	3	1831	1	35	24	0	47N37	6E 9	70	CHAMPLITTE
A	319	F	3	12	1859	11	50	4	0	48N47	2E29	94	JOINVILLE-LE-PO
A	320	F	8	5	1903	6	50	40	0	43N18	5E22	13	MARSEILLE
A	321	F	13	2	1863	4	55	40	0	49N26	1E 5	76	YERVILLE
A	322	F	26	12	1930	11	30	0	0	48N50	2E11	92	VAUCRESSON
A	323	F	24	8	1916	15	0	0	0	43N45	7E25	MON	MONACO
A	324	F	9	11	1880	21	38	32	0	43N18	5E22	13	MARSEILLE
A	325	F	13	5	1811	5	35	12	0	48N42	6E12	54	NANCY
A	326	F	18	5	1899	0	5	40	0	48N50	2E11	92	ASNIERES
A	327	F	29	10	1907	16	50	40	0	47N15	6E 2	25	VESOUL
A	328	F	6	9	1903	2	10	40	0	36N47	3E 0	ALG	ALGER
A	329	F	13	6	1837	2	50	48	0	49N54	2E18	80	GAMACHES
A	330	F	20	12	1927	7	0	0	0	43N42	7E16	06	NICE
A	331	F	31	7	1907	8	50	40	0	48N42	6E12	54	CIREY-S/VEZOUSE
A	332	F	10	5	1836	2	50	40	0	48N50	2E20	75	PARIS
A	333	F	28	1	1918	0	15	0	0	48N47	2E29	94	KREMLIN-BICETRE
A	334	F	26	4	1923	3	0	0	0	48N57	4E22	51	REIMS
A	335	F	23	8	1861	11	4	20	0	49N 7	1W 5	50	CHERBOURG
A	336	F	12	12	1867	3	45	32	0	49N34	3E37	02	VILLERS-COTTERET
A	337	F	19	12	1833	19	49	20	0	48N33	2E40	77	MITRY-MORY
A	338	F	2	7	1933	22	45	0	0	48N10	6E28	88	PLOMBIERES
A	339	F	3	3	1848	3	50	40	0	48N50	2E20	75	PARIS
A	340	F	28	4	1835	21	54	16	0	44N27	1E26	46	CAHORS
A	341	F	6	9	1929	4	0	0	0	49N 1	1E11	27	MAINEVILLE
A	342	F	25	11	1796	18	50	40	0	48N50	2E20	75	PARIS
A	343	F	20	7	1808	17	50	40	0	48N50	2E20	75	PARIS 3E
A	344	F	30	1	1922	19	30	0	0	48N50	2E11	92	NEUILLY
A	345	F	16	4	1927	13	0	0	0	43N42	7E16	06	NICE
A	346	F	4	4	1897	0	50	40	0	48N50	2E20	75	PARIS 5E
A	347	F	21	2	1925	2	0	0	0	48N50	2E11	92	PUTEAUX
A	348	F	30	6	1925	22	30	0	0	50N39	3E 5	59	ROUBAIX
A	349	F	31	7	1914	1	0	0	0	48N50	2E11	92	COURBEVOIE
A	350	F	26	2	1866	4	50	40	0	48N50	2E20	75	PARIS 3E
A	351	F	29	9	1884	16	57	36	0	44N50	0W34	33	BORDEAUX
