# http://cura.free.fr/gauq/902gdE2c.html
# 13109 New Birth Data (PARIS 14). Series E, volume 2c
# Children born in the years 1923, 1924 and 1929 in Port-Royal Maternity (Unpublished Data)
# Series E: Planetary Heredity. A Reappraisal on 50,000 subjects (Volume 2c)
# by Michel et Françoise GAUQUELIN
# [3rd CURA's edition, revised by Patrice Guinard : February 2009]
# Port-Royal Maternity 皇家港婦產醫院

# Notice #5822 出現 Feb/31 , 移除 , 原始檔案 #8224無NUM , 手動填上

# NUM : Number (from 1 to 13116)
# SEX : M = mother ; F = father ; D = daughter ; S = son
# 沒有 PL (出生地點) !
# DAY : Day of birth
# MON : Month of birth
# YEA : Year of birth
# H : Hour of birth ; Birthtime is converted to standard time, either for zone 0 (= GMT) or -1 (= CET)
# MN : Minutes
# SEC : Seconds
# Ci : Ci code (see the Introduction), sometimes missing
# TZ : Time Zone at the place of birth and date of birth (0 or -1)
# LAT : Latitude of Birth place
# LON : Longitude of Birth place
# COD : Abbreviated Code of Birth place indicating the French "Département"
# (The Birth place is not mentioned)

# 0    1   2   3   4  5  6   7   8   9       10      11  12
#NUM	SEX	DAY	MON	YEA	H	MN	SEC	Ci	TZ      LAT     LON	COD

149	M	17	03	1877	20	50	40		0	48N50	2E20	75
150	D	07	06	1923	22	0	0	02	0	48N50	2E20	75
151	F	22	09	1877	21	02	0		0	43N54	0W30	40
152	M	02	04	1886	14	02	0	04	0	43N54	0W30	40
153	D	08	06	1923	20	50	0	01	0	48N50	2E20	75
154	F	27	09	1877	08	57	36		0	43N39	0E36	32
155	M	05	03	1890	21	57	36	06	0	43N39	0E36	32
156	D	08	02	1923	15	15	0	06	0	48N50	2E20	75
157	F	30	09	1877	06	59	40		0	48N26	0E05	61
158	M	16	03	1886	06	50	40	11	0	48N50	2E20	75
159	D	14	03	1924	14	05	0	01	0	48N50	2E20	75
160	F	04	11	1877	22	50	40		0	48N50	2E20	75
161	M	07	06	1889	07	50	40	0	0	48N50	2E20	75
162	D	06	03	1924	0	30	0	09	0	48N50	2E20	75
163	F	24	11	1877	09	47	40		0	45N47	3E05	63
164	M	26	04	1881	19	10	56		0	47N40	2W44	56
165	D	12	01	1923	01	55	0	03	0	48N50	2E20	75
166	F	31	12	1877	08	50	40		0	48N50	2E20	75
167	M	28	02	1885	0	55	16	16	0	49N01	1E11	27
168	D	02	09	1923	01	0	0	04	0	48N50	2E20	75
169	F	22	03	1878	03	45	32		0	49N34	3E37	02
170	M	30	06	1880	23	06	40		0	48N07	1W40	35
171	S	13	05	1924	18	40	0	05	0	48N50	2E20	75
172	F	09	05	1878	04	59	40		0	43N14	0E05	65
173	M	16	01	1887	09	51	28	12	0	48N50	2E08	78
174	S	13	01	1924	08	0	0	0	0	48N50	2E20	75
175	F	16	07	1878	21	36	40		0	48N07	1W40	35
176	M	22	10	1881	05	54	0		0	48N27	1E30	28
177	S	09	02	1923	23	10	0	01	0	48N50	2E20	75
178	F	27	07	1878	04	11	0		0	48N31	2W45	22
179	M	05	03	1887	09	50	16	09	0	44N56	2E26	15
180	S	20	03	1923	23	20	0	06	0	48N50	2E20	75
181	F	20	08	1878	14	40	56		0	47N40	2W44	56
182	M	09	05	1886	14	20	40	20	0	48N50	2E20	75
183	S	31	05	1923	12	10	0	03	0	48N50	2E20	75
184	F	01	09	1878	18	47	24		0	46N59	3E09	58
185	M	02	01	1886	18	57	04	11	0	45N11	0E44	24
186	S	15	12	1923	0	35	0	05	0	48N50	2E20	75
187	F	11	09	1878	13	44	28		0	45N03	3E53	43
188	M	06	02	1890	17	44	28	05	0	45N03	3E53	43
189	D	15	07	1923	14	35	0	01	0	48N50	2E20	75
190	F	21	09	1878	10	55	16		0	49N01	1E11	27
191	M	12	05	1888	0	52	24	08	0	47N54	1E54	45
192	D	01	04	1923	16	0	0	02	0	48N50	2E20	75
193	F	29	09	1878	21	47	40		0	50N39	3E05	59
194	M	10	02	1894	09	05	40	03	0	48N50	2E20	75
195	D	24	12	1929	04	40	0	06	0	48N50	2E20	75
196	F	26	10	1878	18	50	40		0	48N50	2E20	75
197	M	03	07	1893	10	50	40	06	0	48N50	2E20	75
198	S	18	04	1923	10	0	0	01	0	48N50	2E20	75
199	F	25	11	1878	14	54	16		0	44N27	1E26	46
200	M	25	01	1892	01	20	40	04	0	48N07	1W40	35
201	S	09	03	1929	07	20	0	08	0	48N50	2E20	75
202	F	28	01	1879	21	57	28		0	44N12	0E38	47
203	M	25	10	1891	22	50	40	11	0	46N17	1E52	23
204	S	21	09	1923	12	30	0	10	0	48N50	2E20	75
205	F	30	01	1879	14	50	40		0	48N50	2E20	75
206	M	25	06	1893	22	50	40	04	0	47N40	2W44	56
207	D	28	10	1923	0	05	0	02	0	48N50	2E20	75
208	F	23	03	1879	02	35	24		0	47N37	6E09	70
209	M	08	07	1885	21	59	12	04	0	48N01	0E12	72
210	S	28	11	1923	05	45	0	08	0	48N50	2E20	75
211	F	26	03	1879	20	47	24		0	46N59	3E09	58
212	M	22	04	1887	07	10	56	10	0	47N40	2W44	56
213	S	06	07	1923	15	30	0	08	0	48N50	2E20	75
214	F	07	04	1879	11	50	40		0	48N50	2E20	75
215	M	15	11	1897	13	50	40	08	0	45N47	3E05	63
216	D	25	02	1924	11	10	0	08	0	48N50	2E20	75
217	F	24	04	1879	07	35	16		-1	49N07	6E11	57
218	M	07	08	1883	14	51	40		0	49N26	2E05	60
219	S	03	10	1923	15	20	0	0	0	48N50	2E20	75
220	F	29	04	1879	22	35	32		0	45N54	6E07	74
221	M	21	02	1890	07	35	32	03	0	45N54	6E07	74
222	S	06	12	1923	08	25	0	01	0	48N50	2E20	75
223	F	20	05	1879	01	50	40		0	48N50	2E20	75
224	M	09	10	1887	03	54	0	01	0	48N27	1E30	28
225	D	17	01	1923	07	15	0	03	0	48N50	2E20	75
226	F	31	05	1879	09	45	32		0	49N34	3E37	02
227	M	02	06	1890	17	45	32	08	0	49N34	3E37	02
228	D	31	07	1923	20	0	0	01	0	48N50	2E20	75
229	F	01	06	1879	12	50	40		0	48N50	2E20	75
230	M	12	01	1890	09	50	40	04	0	48N50	2E20	75
231	D	16	05	1923	15	30	0	02	0	48N50	2E20	75
232	F	11	06	1879	22	16	24		0	48N 0	4W06	29
233	M	03	11	1888	03	16	24	01	0	48N 0	4W06	29
234	D	30	09	1923	23	25	0	04	0	48N50	2E20	75
235	F	19	06	1879	03	50	40		0	48N50	2E20	75
236	M	11	09	1894	11	50	40	10	0	46N17	1E52	23
237	S	08	04	1924	21	50	0	03	0	48N50	2E20	75
238	F	24	07	1879	17	39	20		0	48N46	5E10	55
239	M	19	07	1881	08	35	12		0	48N42	6E12	54
240	S	20	07	1923	19	10	0	03	0	48N50	2E20	75
241	F	01	08	1879	18	50	28		0	47N05	2E23	18
242	M	16	10	1881	14	50	28		0	47N05	2E23	18
243	S	22	03	1923	02	20	0	02	0	48N50	2E20	75
244	F	15	09	1879	05	55	40		0	49N26	1E05	76
245	M	04	05	1886	08	55	40	06	0	49N26	1E05	76
246	S	04	04	1923	04	0	0	02	0	48N50	2E20	75
247	F	29	11	1879	02	50	40		0	48N50	2E20	75
248	M	01	02	1888	21	04	20	01	0	49N07	1W05	50
249	S	13	02	1923	19	40	0	01	0	48N50	2E20	75
250	F	13	12	1879	12	48	56		0	50N18	2E46	62
251	M	18	08	1880	13	48	56		0	50N18	2E46	62
252	S	30	04	1924	10	15	0	01	0	48N50	2E20	75
253	F	28	12	1879	10	36	40		0	48N07	1W40	35
254	M	13	08	1884	01	04	20	10	0	49N07	1W05	50
255	S	16	01	1923	21	30	0	05	0	48N50	2E20	75
256	F	22	01	1880	21	48	56		0	50N18	2E46	62
257	M	05	04	1885	17	55	0	01	0	45N50	1E15	87
258	D	17	01	1924	01	0	0	06	0	48N50	2E20	75
259	F	03	02	1880	21	48	56		0	50N18	2E46	62
260	M	16	08	1880	08	50	40		0	48N50	2E20	75
