# YEA	MON	DAY	NAME

 1821	7	22	Desbrosses Leopold
 1821	8	5	Chautard Joseph
 1821	8	14	Pierdon Francois
 1821	8	23	Carrand Louis
 1821	8	25	Garcin Louis
 1821	10	3	Solde Alexandre
 1821	10	13	Luminais Evariste
 1821	11	24	Grenet De Joigny Dominique
 1822	1	14	Salentin Hubert
 1822	2	9	Charpentier-Bosio Andre
 1822	2	12	Nesle Eugene
 1822	3	15	Gide Francois
 1822	3	16	Bonheur Marie
 1822	4	23	Dehodencq Alexis
 1822	6	1	Crapelet Louis
 1822	6	30	Pavot Pierre
 1822	7	15	Busson Charles
 1822	7	21	Chavet Victor
 1822	8	21	Carrey Louis
 1822	8	23	Faure Eugene
 1822	10	1	Joussay Jacques
 1822	11	13	Bauderon Alexandre
 1822	12	17	Housez Charles
 1823	1	3	Faverjon Jean
 1823	1	8	Willems Florent
 1823	1	10	Biennourry Victor
 1823	1	25	Laugee Desire
 1823	3	25	Bertrand J
 1823	5	3	Danguin Jean
 1823	5	6	Duntze Johannes
 1823	5	26	Couturier Philibert
 1823	5	26	Hanoteau Hector
 1823	7	22	Guffens Godfried
 1823	8	5	Ribot Theodule
 1823	9	1	Ricard Louis
 1823	9	2	Grivolas Pierre
 1823	11	23	Lerius Joseph
 1823	12	8	Sorieul Jean
 1824	1	27	Israels Joseph
 1824	1	28	Donzel Charles
 1824	2	24	Guerard A
 1824	2	27	Trutat Felix
 1824	3	8	Guy Jean
 1824	4	1	Rochebrune Octave
 1824	4	11	Fillyon Jules
 1824	4	16	Muraton Frederic
 1824	4	25	Boulanger Gustave
 1824	4	26	Lambert Antoine
 1824	4	28	Lhuillier Charles
 1824	5	8	Thiollet Alexandre
 1824	5	11	Gerome Jean
 1824	7	5	Fragnay Francois
 1824	7	5	Serret Charles
 1824	7	12	Boudin Eugene
 1824	7	29	Suchet Joseph
 1824	9	26	Lapostelet Charles
 1824	9	28	Cabanel Alexandre
 1824	10	14	Monticelli Adolphe
 1824	10	15	Dargent Edouard
 1824	11	4	Brion Gustave
 1824	11	25	Verlat Charles
 1824	12	14	Puvis De Chavannes Pierre
 1824	12	29	Vogel Cornelis
 1825	3	18	Grandsire Pierre
 1825	3	21	Chifflart Nicolas
 1825	4	10	Marchal Charles
 1825	4	14	Baric Jules
 1825	6	3	Morel-Retz Louis
 1825	6	8	Chaplin Charles
 1825	6	10	Lobbedez Charles
 1825	6	19	Gautier Armand
 1825	7	26	Laurens Jules
 1825	9	8	Schutzenberger Louis
 1825	9	20	Borselen Jan
 1825	9	24	Monginot Charles
 1825	10	17	Protais Alexandre
 1825	11	7	Giraud Henri
 1825	11	30	Bouguereau William
 1826	1	11	Veron Alexandre
 1826	2	9	Pecru Charles
 1826	4	6	Moreau Gustave
 1826	4	12	Feyen-Perrin Francois
 1826	5	11	Piette Ludovic
 1826	5	20	Clement Felix
 1826	5	26	Praetere Edmond
 1826	5	28	Jeanniot Pierre
 1826	7	30	Maillot Theodore
 1826	9	3	Pasini Alberto
 1826	9	22	Deve Eugene
 1826	10	5	Valadon Jules
 1826	10	24	La Roche Armand
 1827	1	28	Grevin Alfred
 1827	2	2	Achenbach Oswald
 1827	2	8	Poncet Jean
 1827	3	4	Magy Jules
 1827	3	23	Belly Leon
 1827	4	3	Oudinot Eugene
 1827	4	5	Sauvaige Louis
 1827	5	22	Fouace Guillaume
 1827	8	20	Marche De Lummen Emile
 1827	9	10	Blin Francois
 1827	11	10	Moyse Salluste
 1827	11	27	Lalanne Maxime
 1827	12	16	Doze Jean
 1828	2	12	Borel Paul
 1828	3	22	Affanni Ignazio
 1828	3	28	Carjat Pierre
 1828	4	22	Bisschop Christoffel
 1828	6	13	Delaunay Jules
 1828	6	18	Pabst Camille
 1828	7	11	Colin Gustave
 1828	7	28	Gandon Adolphe
 1828	11	7	Baudry Paul
 1828	11	19	Giacomotti Felix
 1828	12	2	Marchand Jean
 1829	2	4	De Jonghe Gustave
 1829	2	20	Bernard Jean2
 1829	3	1	Laurens Nicolas
 1829	3	4	Vos Vincent
 1829	3	5	Henner Jean
 1829	5	24	Ulmann Benjamin
 1829	8	2	Legat Leon
 1829	8	14	Sintin Jules
 1829	9	7	Coessin De La Fosse Charles
 1829	9	15	Leman Jacques
 1829	9	21	Toulmouche Auguste
 1829	10	22	Trigt Hendrik
 1829	11	29	Vernier Emile
 1829	12	28	Leroux Louis
 1830	3	1	Nicolle Emile
 1830	4	2	Quesnay Alfred
 1830	4	13	Pauwels Ferdinand
 1830	5	8	Bail Antoine
 1830	5	13	Sain Edouard
 1830	5	24	Faivre Antoine
 1830	7	2	Hublin Emile
 1830	12	23	Sellier Charles
 1831	1	11	Penne Charles
 1831	1	17	Fanart Clement
 1831	2	23	Mesdag Hendrik
 1831	3	13	Parrot Philippe
 1831	3	29	Karcher Gustave
 1831	4	11	Beernaert Euphrosine
 1831	4	26	Lobrichon Timoleon
 1831	5	26	Didier Jules
 1831	6	5	Bauerle Karl
 1831	8	20	Rosier Amedee
 1831	11	9	Deshayes Charles
 1832	1	6	Dore Gustave
 1832	1	23	Manet Edouard
 1832	10	2	Mali Christian
 1832	10	4	Olivier Leon
 1832	11	11	Jolyet Philippe
 1832	12	16	Haeberlin Carl
 1832	12	22	Netti Francesco
 1833	2	20	Astruc Zacharie
 1833	2	20	Moulinet Antoine
 1833	3	19	Allonge Auguste
 1833	3	28	Dubouchet Henri
 1833	4	20	Vollon Antoine
 1833	5	12	Saint-Pierre Gaston
 1833	6	20	Bonnat Joseph
 1833	7	7	Rops Felicien
 1833	7	9	Dupuis Pierre
 1833	7	29	Jourdan Theodore
 1833	7	30	Michel Ernest
 1833	9	23	Kuwasseg Charles
 1833	9	28	Leroux Louis
 1833	10	6	Demory Charles
 1833	10	12	Layraud Joseph
 1833	12	2	Riou Edouard
 1833	12	17	Salome Louis
 1834	1	7	Gaillard Claude
 1834	1	9	Burgers Hendricus
 1834	1	9	Verhas Jan
 1834	1	16	Havermaet Piet
 1834	1	27	Couverchel Alfred
 1834	2	5	Lebel Edmond
 1834	2	15	Guigou Paul
 1834	2	19	Daumont Emile
 1834	3	22	Paris Camille
 1834	4	16	Escot Charles
 1834	4	23	Heullant Felix
 1834	6	6	Teysonniere Pierre
 1834	7	19	Degas Edgar
 1834	11	28	Gelibert Jules
 1834	12	23	Mesdag-Van Houten Sientze
 1835	2	19	Lansier Emmanuel
 1835	5	1	Huguet Victor
 1835	5	12	Ponson Luc
 1835	5	31	Neuville Alphonse
 1835	6	12	Monchablon Xavier
 1835	6	28	Douillard Alexis
 1835	7	7	Baur Albert
 1835	10	3	Grellet Alexandre
 1835	11	21	Armbrustier Jean
 1836	1	14	Fantin-Latour Theodore
 1836	1	24	Toma Giovacchino
 1836	3	27	Dufeu Edouard
 1836	3	28	Benner Emmanuel
 1836	3	28	Benner Jean
 1836	4	11	Muraton Euphemie
 1836	6	14	Simon Leon
 1836	7	26	Pearon Jules
 1836	9	25	Valton Edmond
 1836	10	15	Tissot Jacques
 1836	11	2	Billet Pierre
 1837	1	11	Laborne Edme
 1837	2	6	Desavary Charles
 1837	2	17	Cot Pierre
 1837	2	27	Dubois Henri
 1837	5	8	Legros Alphonse
 1837	7	4	Carolus-Duran Emile
 1837	7	10	Frere Charles
 1837	7	25	Maris Jacob
 1837	11	2	Bayard Emile
 1838	1	10	Bouche Louis
 1838	1	20	Geets Willem
 1838	1	27	Carmignani Guido
 1838	3	18	Stobbaerts Jean
 1838	3	28	Laurens Jean
 1838	4	23	Verwee Alfred
 1838	5	2	Beckerath Moritz
 1838	5	16	Butin Ulysse
 1838	5	30	Girard Marie
 1838	6	10	Leofanti Adolphe
 1838	6	23	Dramard Georges
 1838	7	29	Berne-Bellecour Etienne
 1838	9	18	Mauve Anton
 1838	9	21	Morlot Alphonse
 1838	10	1	Pelouse Leon
 1838	10	19	Grellet Francois
 1838	10	28	Gabriel Justin
 1839	1	19	Cezanne Paul
 1839	2	20	Bidault Henri
 1839	3	9	Laporte Jean
 1839	4	4	Bonnefoy Henri
 1839	4	5	Guillemer Ernest
 1839	5	14	Petit Leonce
 1839	5	19	Lesrel Adolphe
 1839	5	19	Thirion Eugene
 1839	5	23	Torrents-Y-De-Amat Stanislas
 1839	6	21	Rapin Alexandre
 1839	6	23	Pointelin Auguste
 1839	9	17	Beauverie Charles
 1839	9	22	Machard Jules
 1839	10	2	Thoma Hans
 1839	10	21	Kreyder Alexis
 1839	12	13	Girard Paul
 1839	12	20	Merlot Emile
 1840	1	6	Thurner Gabriel
 1840	1	26	Outin Jean
 1840	2	10	Rudaux Edmond
 1840	4	12	Roybet Ferdinand
 1840	4	20	Redon Odilon
 1840	6	16	Marquet De Vasselot Anatole
 1840	9	23	Levy Henri
 1840	9	30	Vibert Jean
 1840	10	8	Rougeron Jules
 1840	10	9	Le Senechal Gustave
 1840	10	17	Gill Andre
 1840	10	28	Maillart Diogene
 1840	11	30	Beauvais Armand
 1841	1	4	Dutzschold Henri
 1841	1	14	Morisot Berthe
 1841	1	25	Leemputten Cornelis
 1841	2	4	Delort Charles
 1841	2	25	Renoir Auguste
 1841	3	2	Vuillefroy Felix
 1841	4	7	Neuhuys Josephus
 1841	4	27	Tyt-Gat Louis
 1841	5	17	Picard Hugues
 1841	5	25	Cazin Jean
 1841	6	8	Le Petit Alfred
 1841	10	12	Herpin Leon
 1841	11	3	Dupray Henry
 1841	12	6	Bazille Jean
 1841	12	18	Melingue Lucien
 1842	1	3	Jacomin Alfred
 1842	1	8	Humbert Jacques
 1842	1	12	Goubie Jean
 1842	1	29	Sautai Paul
 1842	1	30	Charpin Albert
 1842	2	3	Glaize Pierre
 1842	2	24	Quost Ernest
 1842	4	15	Pinel Gustave
 1842	4	16	Delpy Hippolyte
 1842	4	25	Le Comte Paul
 1842	5	23	Gallard-Lepinay Paul
 1842	8	5	Keller Ferdinand
 1842	8	10	Pinchart Auguste
 1843	2	14	Ducaruge Leon
 1843	3	4	Leloir Alexandre
 1843	3	7	Duez Ernest
 1843	3	9	Ter Meulen Frans
 1843	3	28	Berteaux Hippolyte
 1843	4	18	Moreau Adrien
 1843	7	17	Flameng Marie
 1843	8	29	Agache Alfred
 1843	9	11	Clairin Jules
 1843	10	30	Regnault Henri
 1844	1	7	Charnay Armand
 1844	1	19	Bergeret Denis
 1844	1	25	Chirico Giacomo
 1844	2	29	Somm Francois
 1844	3	6	Milliet J
 1844	5	21	Grandjean Edmond
 1844	5	21	Rousseau Henri
 1844	6	2	Martin Charles
 1844	6	10	Neuhuys Albert
 1844	6	23	Benard Henry
 1844	6	24	Zuber Jean
 1844	6	25	Henkes Gerke
 1844	7	7	Bellee Leon
 1844	7	31	Lhermitte Leon
 1844	9	19	Cazin Marie
 1844	10	11	Barillot Leon
 1844	10	24	Baudoin Paul
 1844	11	11	Martin Jacques
 1844	11	14	Mathey Paul
 1845	1	16	Delacroix Henry
 1845	1	27	Ooms Charles
 1845	4	11	Robinet Gustave
 1845	5	7	Boilvin Emile
 1845	5	19	Gros Lucien
 1845	5	24	Lemaire Madeleine
 1845	6	10	Constant Benjamin
 1845	6	17	Grison Francois
 1845	7	4	Marsal Edouard
 1845	10	14	Maignan Albert
 1845	10	14	Priou Louis
 1845	11	5	Brunet-Debaines Louis
 1845	11	5	Renouart Charles
 1845	12	7	Mettling Louis
 1845	12	11	Jourdain Roger
 1845	12	20	Chapoton Gregoire
 1846	2	25	Nittis Giuseppe
 1846	3	1	Gagliardini Julien
 1846	3	1	Roll Alfred
 1846	3	3	Isenbart Marie
 1846	4	12	Oeder Geor
 1846	5	21	Merson Luc
 1846	5	25	Jacquet Gustave
 1846	6	1	Suisse Charles
 1846	6	25	Billotte Rene
 1846	7	5	Brispot Henri
 1846	8	7	Pezant Aime
 1846	8	8	Vimont Edouard
 1846	10	1	Matifas Louis
 1846	11	3	Petua Leon
 1846	11	6	Arus Jean
 1846	11	30	Rixens Jean
 1847	1	22	Garnier Jules
 1847	2	20	Damoye Pierre
 1847	4	8	Mouchot Louis
 1847	4	25	Debat-Ponsan Edouard
 1847	5	1	Weerts Jean
 1847	5	8	Bonnet Felix
 1847	5	22	Lepoittevin Louis
 1847	6	23	Nonclercq Elie
 1847	6	24	Sylvestre Joseph
 1847	7	9	Buhot Felix
 1847	9	28	Saunier Noel
 1847	9	29	Ferrier Gabriel
 1847	11	15	Roullet Gaston
 1847	12	25	Vignon Victor
 1848	3	8	Guinard Alexandre
 1848	3	20	Pollpot Theophile
 1848	3	22	Jacque Emile
 1848	4	3	Moreau De Tours Georges
 1848	5	10	Begue Lucien
 1848	5	14	Robida Albert
 1848	5	24	Margottet Edouard
 1848	6	7	Gauguin Paul
 1848	6	14	Grolleron Paul
 1848	6	23	Laupheimer Anton
 1848	7	30	Olive Jean
 1848	8	3	Lessieux Ernest
 1848	9	28	Götz Hermann
 1848	10	1	La Lyre Adolphe
 1848	10	4	Lerolle Henry
 1848	10	5	Detaille Edouard
 1848	10	19	Marie Adrien
 1848	11	1	Bastien-Lepage Jules
 1848	11	3	Wencker Joseph
 1849	1	16	Carriere Eugene
 1849	2	1	Lebourg Albert
 1849	2	15	Dupuis Daniel
 1849	3	17	Binet Victor
 1849	6	2	Besnard Paul
 1849	6	8	Sergent Lucien
 1849	6	21	Bisschop Richard
 1849	6	30	Gerardin Auguste
 1849	7	8	Kauffmann Paul
 1849	7	20	Chartran Theobald
 1849	8	19	Aubert Joseph
 1849	9	27	Claus Emile
 1849	11	30	Lepere Louis
 1850	2	14	Cauchois Eugene
 1850	2	18	Ritter Wilhelm
 1850	2	22	Joors Eugen
 1850	4	20	Raffaelli Jean
 1850	6	16	Morot Aime
 1850	7	10	Zwiller Marie
 1850	7	14	Entraygues Charles
 1850	7	26	Lematte Jacques
 1850	7	30	Toudouze Simon
 1850	9	15	Delperee Emile
 1850	10	5	Renard Emile
 1850	10	8	Herbo Leon
 1850	10	10	Comerre Leon
 1850	10	18	Boutet De Monvel Louis
 1850	11	21	Cercone Ettore
 1850	11	26	Fath Rene
 1850	12	29	Leemputten Frans
 1851	1	11	Hervier Aubin
 1851	2	2	Chanut Marie
 1851	2	3	Trübner Heinrich
 1851	3	22	Descelles Paul
 1851	3	30	Le Blant Julien
 1851	7	23	Beaudouin Jean
 1851	8	9	Scalbert Jules
 1851	10	17	Pail Edouard
 1851	10	25	Demont Adrien
 1851	12	3	Schönleber Gustav
 1851	12	8	Schuffenecker Claude
 1852	2	4	Bertrand Paulin
 1852	3	19	Armenise Raffaello
 1852	3	27	Beers Jan
 1852	8	27	Hagemans Maurice
 1852	9	10	Gervex Henri
 1852	10	23	Forain Jean
 1852	11	18	Petit-Gerard Pierre
 1852	11	25	Laronze Jean
 1852	12	25	Royer Lionel
 1853	2	9	Jamin Paul
 1853	3	1	Geoffroy Henry
 1853	3	30	Gogh Vincent Van
 1853	4	2	Leenhardt Michel
 1853	4	7	Gozlan Leon
 1853	4	20	Vallee Etienne
 1853	5	16	Dubufe Edouard
 1853	6	5	Noirot Emile
 1853	7	9	Rosset-Granger Paul
 1853	10	29	Carl-Rosa Mario
 1853	10	30	Abbema Louise
 1853	11	1	Leloir Maurice
 1853	11	15	Cabie Louis
 1853	12	6	Sain Paul
 1853	12	19	Laugee Georges
 1854	1	6	Kotschenreiter Hugo
