# 新版 http://cura.free.fr/gauq/902gdA6.html
# 舊版 http://cura.free.fr/gauq/11gdA6.txt
# Writer 作家 , 1352位

# 有 name , list size = 1285
# 無 name , list size =   67

# PRO	NUM	COU	DAY	MON	YEA	H	MN	SEC	TZ	LAT	LON	COD	CITY	

W	121	F	12	1	1915	15	0	0	0	46N34	3E20	03	SAINT-PONT
W	122	F	24	12	1825	9	44	28	0	43N37	3E53	34	LUNEL
W	123	F	16	11	1888	1	40	40	0	43N57	4E50	84	AVIGNON
W	124	F	5	9	1901	3	50	40	0	43N51	4E21	30	LASALLE
W	125	F	14	9	1868	3	11	0	0	48N31	2W45	22	DINAN
W	126	F	1	6	1870	5	11	0	0	48N31	2W45	22	ST-BRIEUC
W	127	F	24	2	1912	6	30	0	0	46N40	1W25	85	LA ROCHE-S-YON
W	128	F	27	5	1821	17	25	40	0	49N26	1E 5	76	CANY
W	129	F	13	5	1940	22	30	0	0	45N39	0E10	16	JARNAC
W	130	F	27	2	1913	10	0	0	0	45N39	0E10	16	JARNAC
W	131	F	24	1	1922	15	30	0	0	49N26	2E 5	60	COMPIEGNE
W	132	F	20	2	1912	15	0	0	0	43N57	4E50	84	AVIGNON
W	133	F	30	12	1905	16	50	40	0	49N 0	2E 0	95	L'ISLE-ADAM
W	134	F	24	10	1901	1	20	40	0	49N26	2E 5	60	DAX
W	135	F	26	10	1887	12	56	28	0	48N50	2E 8	78	ST-GERMAIN-EN-L
W	136	F	26	3	1852	8	35	0	0	44N 6	6E15	04	MANOSQUE
W	137	F	2	9	1852	10	35	48	0	49N54	2E18	80	AMIENS
W	138	F	4	10	1847	6	52	24	0	47N54	1E54	45	ESCRENNES
W	139!	F	28	7	1845	19	51	16	0	48N50	2E11	92	MONTROUGE
W	140	F	14	4	1867	3	27	12	0	47N24	0E42	37	LA HAYE-DESCART
W	141	F	31	3	1889	9	50	0	0	48N55	2E30	93	VILLEMOMBLE
W	142	F	31	3	1909	21	50	40	0	42N42	2E55	66	PERPIGNAN
W	143	F	22	10	1921	17	0	0	0	43N37	3E53	34	SETE
W	144	F	22	12	1905	21	20	40	0	48N50	2E20	75	PARIS
W	145	F	14	8	1900	9	50	40	0	43N18	5E22	13	MARSEILLE
W	146	F	12	4	1876	2	39	20	0	48N46	5E10	55	BAR-LE-DUC
W	147	F	31	7	1865	3	38	32	0	43N18	5E22	13	AIX-EN-PROVENCE
W	148!	F	19	2	1896	21	50	40	0	48N26	0E 5	61	TINCHEBRAY
W	149	F	21	8	1930	2	0	0	0	43N57	4E50	84	AVIGNON
W	150	F	2	8	1891	18	50	40	0	50N39	3E 5	59	DOUAI
W	151	F	30	4	1925	21	0	0	0	48N 1	0E12	72	LE MANS
W	152	F	21	11	1895	16	50	40	0	43N18	5E22	13	MARSEILLE
W	153	F	28	5	1922	16	0	0	0	48N50	2E11	92	BOIS-COLOMBES
W	154	F	12	9	1803	16	10	56	0	47N40	2W44	56	LORIENT
W	155	F	29	6	1848	7	47	40	0	50N39	3E 5	59	QUESNOY/DEULE
W	156	F	6	5	1851	0	52	24	0	47N54	1E54	45	COURTENAY
W	157	F	18	7	1849	15	34	8	0	43N32	6E28	83	TOULON
W	158	F	30	6	1906	18	50	40	0	49N 7	1W 5	50	SAINTE-CROIX-HA
W	159	F	20	9	1803	9	35	32	0	45N54	6E 7	74	VULBENS
W	160	F	14	3	1905	15	20	40	0	47N13	1W35	44	NANTES
W	161	F	28	9	1909	20	50	40	0	44N21	2E34	12	MILLAU
W	162	F	14	9	1926	2	0	0	0	50N39	3E 5	59	MONS-EN-BAROEUL
W	163	F	1	4	1926	2	0	0	0	43N37	3E53	34	BEZIERS
W	164	F	24	3	1922	12	0	0	0	43N37	1E26	31	TOULOUSE
W	165	F	15	2	1920	21	0	0	0	47N13	1W35	44	SAINTE-REINE-DE
W	166	F	3	3	1913	3	0	0	0	48N57	4E22	51	REIMS
W	167	F	4	11	1918	5	30	0	0	48N47	2E29	94	MAISONS-ALFORT
W	168	F	7	11	1913	2	0	0	-1	44N23	7E49	ALG	MONDOVI
W	169	F	25	11	1857	6	38	32	0	43N18	5E22	13	AIX-EN-PROVENCE
W	170	F	27	6	1881	6	55	16	0	49N 1	1E11	27	VERNEUIL/AVRE
W	171	F	4	3	1826	5	58	40	0	46N35	0E20	86	POITIERS
W	172	F	28	6	1873	22	40	40	0	45N46	4E50	69	SAINTE-FOY-LES-
W	173	F	10	5	1800	22	55	40	0	49N26	1E 5	76	ROUEN
W	174	F	22	2	1910	11	50	40	0	46N35	0E20	86	POITIERS
W	175	F	8	7	1925	15	0	0	0	43N12	2E21	11	BRAM
W	176	F	27	5	1894	15	50	40	0	48N50	2E11	92	COURBEVOIE
W	177	F	13	10	1900	3	50	40	0	44N50	0W34	33	BORDEAUX
W	178	F	4	11	1914	2	0	0	0	43N57	4E50	84	CAVAILLON
W	179	F	2	8	1914	8	15	0	0	50N39	3E 5	59	TOURCOING
W	180	F	11	6	1925	14	0	0	0	43N51	4E21	30	CHAMBORIGAUD
W	181	F	22	6	1920	1	0	0	0	48N 4	0W45	53	MAYENNE
W	182	F	7	6	1890	0	52	56	0	45N16	1E46	19	BRIVE
W	183	F	23	5	1895	8	50	40	0	45N16	1E46	19	BRIVE
W	184	F	8	12	1899	0	50	40	0	46N40	1W25	85	TALMONT
W	185	F	17	9	1821	19	15	32	0	49N34	3E37	02	LAON
W	186	F	6	6	1900	0	50	40	0	43N51	4E21	30	NIMES
W	187	F	14	6	1907	9	20	40	0	43N57	4E50	84	L'ISLE-S/SORGUE
W	188	F	2	1	1884	15	29	20	0	45N39	0E10	16	BARBEZIEUX
W	189	F	27	2	1910	8	50	40	0	47N38	6E52	90	BELFORT
W	190	F	5	7	1926	10	0	0	0	43N57	4E50	84	AVIGNON
W	191	F	25	3	1877	15	36	40	0	48N 7	1W40	35	RENNES
W	192	F	24	3	1914	2	0	0	0	48N 7	5E 8	52	LANTY/ AUBE
W	193	F	6	11	1872	5	1	48	0	46N19	0W27	79	NIORT
W	194	F	19	7	1829	3	0	8	-1	46N12	6E 9	SCHW	GENEVE
W	195	F	17	1	1809	1	55	40	0	49N26	1E 5	76	ROUEN
W	196	F	3	5	1864	3	59	20	0	45N39	0E10	16	RUELLE
W	197	F	25	5	1856	13	35	24	0	47N37	6E 9	70	LURE
W	198	F	15	3	1835	15	57	28	0	44N12	0E38	47	AGEN
W	199	F	28	11	1811	6	40	40	0	45N46	4E50	69	LYON
W	200	F	3	5	1914	13	0	0	0	45N50	1E15	87	LIMOGES
W	201	F	3	12	1840	17	55	0	0	45N50	1E15	87	LIMOGES
W	202	F	6	8	1868	3	45	32	0	49N34	3E37	02	VILLENEUVE/FERE
W	203	F	29	5	1923	10	30	0	0	46N40	5E33	39	LONS-LE-SAUNIER
W	204	F	10	11	1920	17	0	0	0	43N37	3E53	34	FRONTIGNAN
W	205	F	19	5	1912	15	0	0	0	48N 7	5E 8	52	BOURBONNE-LES-B
W	206	F	15	8	1880	0	47	40	0	45N47	3E 5	63	AUZAT/ALLIER
W	207	F	7	10	1885	11	35	0	0	36N30	6E15	ALG	CONSTANTINE
W	208	F	5	7	1889	0	51	28	0	48N50	2E 8	78	MAISONS-LAFFITT
W	209	F	24	12	1879	14	42	40	0	50N50	4E20	B	ST JOSSE TEN NO
W	210	F	28	1	1873	21	45	40	0	47N48	3E35	89	ST SAUVEUR
W	211	F	19	1	1798	11	44	28	0	43N37	3E53	34	MONTPELLIER
W	212	F	12	10	1808	2	37	48	0	46N40	5E33	39	SALINS
W	213	F	24	4	1881	7	54	28	0	48N 7	5E 8	52	BOURBONNE-LES-B
W	214	F	26	1	1842	12	50	40	0	48N50	2E20	75	PARIS
W	215	F	18	7	1845	18	16	24	0	48N 0	4W 6	29	MORLAIX-PLOUJEA
