# CHRONOLOGICAL ORDER (按照出生日期排列) 
# YEA	MON	DAY	NAME

#此無資料
 1889	4	17	Stampe Jean
 1889	4	25	Deman Pol
 1889	5	15	Van De Velde Pier
 1889	5	22	Garino Guido
 1889	5	25	Bourjade Jean
 1889	5	26	Linart Victor
 1889	6	2	Cabruna Erneste
 1889	6	13	Pegoud Adolphe
 1889	7	19	Gilbert Adrien
 1889	7	21	Crosio Tullio
 1889	7	28	Screpante Giuseppe
 1889	8	13	Andre Georges
 1889	8	15	Franquenelle Andre
 1889	9	21	Vagliasindi Pietro
 1889	10	8	Thijs Philippe
 1889	10	17	Weiss Pierre
 1889	10	31	Nogues Maurice
 1889	11	6	Hanot Gabriel
 1889	11	7	Schalbar Auguste
 1889	11	11	Buysse Marcel
 1889	12	20	Niutta Ugo
 1890	1	27	Ruyter Ch
 1890	2	16	De Pinedo Francesco
 1890	2	24	Laghi Ermenegildo
 1890	3	1	Cena Nicolao
 1890	4	2	Redaelli Cesare
 1890	4	22	Lerou Roger
 1890	5	5	Van Der Stuyft Leon
 1890	5	16	Bossoutrot Lucien
 1890	5	19	Casartelli Cesare
 1890	5	21	Pettazzi Pietro
 1890	5	22	Landini Achille
 1890	5	28	Pozzi Giacomo
 1890	7	20	Salarnier Robert
 1890	7	21	Caselli Stefano
 1890	7	22	Gamblin Lucien
 1890	7	25	Heriot Virginie
 1890	8	7	Frantz Joseph
 1890	8	10	Lagache Alfred
 1890	8	24	Deullin Albert
 1890	8	26	Pensuti Emilio
 1890	9	15	Maes Eugene
 1890	9	22	Andreini Michele
 1890	9	30	Gobert Andre
 1890	10	8	Guilbaud Rene
 1890	12	12	Rigal Jean
 1890	12	12	Sebedio Jean
 1890	12	20	Veronesi Alfredo
 1890	12	27	Rossius Jan
 1891	1	2	Daurat Didier
 1891	1	12	Pinna Pietro
 1891	1	24	Bergonzi Piero
 1891	1	29	Van Lerberghe Henri
 1891	1	30	Pricolo Francesco
 1891	2	1	Fucini Mario
 1891	2	10	Mazzucco Renato
 1891	2	25	Barnaba Pier
 1891	3	3	Pasta Alberto
 1891	3	11	Struxiano Philippe
 1891	4	20	Finzi Aldo
 1891	4	24	Grasso Renato
 1891	5	5	Ambrosini Angelo
 1891	6	2	Bever Jef
 1891	6	6	Verbeek Oscar
 1891	6	16	De Baets Cesar
 1891	7	18	Labattut Andre
 1891	7	20	Sala Virgilio
 1891	7	21	Lubin-Lebrere Marcel
 1891	9	4	Brach-Papa Francesco
 1891	9	30	Giovine Vittorio
 1891	9	30	Potez Henry
 1891	10	8	Porro Felice
 1891	11	7	Rapini Napoleone
 1891	11	28	Dagnaux Jean
 1891	12	14	Catudal Ernest
 1892	1	5	Thoret Joseph
 1892	1	17	Mecozzi Amedeo
 1892	1	20	Folonari Giuseppe
 1892	2	6	Keller Kellerer Guido
 1892	2	8	Brindejonc Marcel
 1892	3	9	Pelletier Doisy Georges
 1892	3	22	Freri Prospero
 1892	3	28	Ganay Gustave
 1892	4	6	De Carlo Giacomo
 1892	4	13	Camandone Alberto
 1892	5	2	Chayrigues Pierre
 1892	5	9	Bie Jean
 1892	6	18	Fontan Victor
 1892	6	30	Swartenbroeks Armand
 1892	7	6	Carafa D'Andria Fiammetta
 1892	7	7	Bernasconi Mario
 1892	7	16	Coiffard Michel
 1892	7	18	Clerici Giampietro
 1892	7	28	Cattiau Philippe
 1892	8	8	Dal Mistro Achille
 1892	8	26	Gravier Ernest
 1892	8	27	Belloni Gaetano
 1892	9	3	Casagrande Villaviera Eugenio
 1892	9	9	Ranza Ferrucio
 1892	10	13	Musch Joseph
 1892	10	27	Ledoux Charles
 1892	11	2	Cuverville Albert
 1892	11	4	Costes Dieudonne
 1892	11	16	Nuvolari Tazio
 1892	11	19	Resch Alessandro
 1893	1	2	Sellier Felix
 1893	1	13	Buzio Alessandro
 1893	2	2	Torricelli Leopold
 1893	3	18	Girardengo Costante
 1893	3	24	Allegri Gino
 1893	3	24	Brilli-Peri Gastone
 1893	3	24	Piani Orlando
 1893	4	21	Pallavicino Cesare
 1893	5	12	Scaroni Silvio
 1893	5	20	Heurtaux Alfred
 1893	6	6	Bevilacqua Igino
 1893	6	9	Moresco Alberto
 1893	7	1	De Bernardi Mario
 1893	7	12	Cadine Ernest
 1893	8	15	Criqui Eugene
 1893	9	23	Casale Jean
 1893	10	2	Tips Ernest
 1893	10	19	Mignet Henri
 1893	10	20	Grange Felix
 1893	10	20	Sibilla Massiera Giulio
 1893	10	25	Gastaldi Camillo
 1893	10	31	Gelmetti Umberto
 1893	11	5	Dubly Raymond
 1893	11	14	Moeskops Peter
 1893	11	17	Gerbault Alain
 1893	11	23	Frezzan Federico
 1893	12	21	Buchard Georges
 1893	12	23	Castagneris Renato
 1893	12	28	Stockelynck Henri
 1894	1	4	Longo Ulisse
 1894	1	5	Maceratini Giuseppe
 1894	1	12	Carpentier Georges
 1894	1	17	Donati Renato
 1894	1	28	Durand Raymond
 1894	1	28	Romanet Bernard
 1894	1	31	Leonis Auguste
 1894	2	3	De Vecchi Renzo
 1894	2	5	Ajmone-Cat Mario
 1894	2	14	De Jonghe Berten
 1894	3	1	Retino Giuseppe
 1894	3	5	Bacula Andriano
 1894	3	20	Castiglioni Angelo
 1894	3	26	Fonck Rene
 1894	4	11	Lordi Umberto
 1894	4	12	Ridolfi Luigi
 1894	5	9	Gounot Jean
 1894	5	10	Dujardin Paul
 1894	5	24	Trevisan Spartaco
 1894	6	7	Bonnet Florentin
 1894	6	8	Hanriot Marcel
 1894	6	13	Pelissier Francis
 1894	7	7	Natale Silvio
 1894	7	27	Jousseaume Andre
 1894	8	1	Bottecchia Ottavio
 1894	8	10	Contini Amerigo
 1894	9	28	Amantea Antonio
 1894	11	7	Adamoli Carlo
 1894	11	18	Olivi Luigi
 1894	11	19	Delmotte Raymond
 1894	12	4	Puech Louis
 1894	12	7	Beguet Louis
 1894	12	14	Maddalena Umberto
 1894	12	23	Bocchese Aldo
 1894	12	24	Da Barberino Raul
 1894	12	24	Guynemer Georges
 1894	12	28	Meulemeester Andre
 1895	1	14	Origgi Giovan
 1895	1	19	Menghi Viero
 1895	1	31	Thollembeek Emil
 1895	2	11	Cottenet Maurice
 1895	2	13	Ferrarin Arturo
 1895	3	3	Riva Giovanni
 1895	3	10	Ceruti Marziale
 1895	3	10	Van Hevel Jules
 1895	3	14	Dossche Jules
 1895	3	21	Van Halme Florimond
 1895	3	31	Moore Raul
 1895	4	4	Marchesi Vittorio
 1895	4	19	Locatelli Antonio
 1895	4	20	Signorelli Gaudenzio
 1895	5	1	Contini Luigi
 1895	5	5	Rodel Raymond
 1895	5	6	Guerritore Revello Carlo
 1895	5	11	Brugnon Jacques
 1895	6	20	Conforti Mario
 1895	7	18	Bedendo Sebastiano
 1895	7	22	Vermeulen Jean
 1895	7	24	Palli Natale
 1895	7	28	Baracchini Flavio
 1895	8	6	Vanier Raymond
 1895	8	8	Navarre Jean
 1895	8	24	Masiero Guido
 1895	8	24	Moureu Pierre
 1895	9	5	Marchesini Piero
 1895	9	7	Arnoux Maurice
 1895	9	23	Tarantini Raffaello
 1895	10	5	Agnesei Alfredo
 1895	10	9	Lasserre Rene
 1895	10	16	Robbiano Leonida
 1896	1	1	Dewolf Mauritz
 1896	1	14	Zanaga Adriano
 1896	2	6	Carlassare Nino
 1896	2	13	Ferretti di C. Piero
 1896	4	29	Hurel Maurice
 1896	5	1	Codos Paul
 1896	6	5	Balbo Italo
 1896	6	26	Degraeve Alois
 1896	8	13	Hugues Francois
 1896	8	19	Lisa Gino
 1896	8	19	Martelli Castaldi Sabatino
 1896	9	13	Haegelen Marcel
 1896	10	2	Teste Paul
 1896	10	3	Vaglienti Giovanni
 1896	10	15	Linari Pietro
 1896	10	20	Peretti Ugo
 1896	10	25	Bellonte Maurice
 1896	11	15	Ancilotto Giannino
 1896	11	20	Sabelli Cesare
 1896	12	17	Ferrarin Francesco
 1896	12	27	De Waele Mauritz
 1896	12	28	Etancelin Philippe
 1897	1	30	Vachet Paul
 1897	1	31	Cassinelli Guglielmo
 1897	2	10	Verschueren Denis
 1897	2	14	Vellat Edmond
 1897	2	20	Verkeyn Karel
 1897	2	28	Gostoli Cristoforo
 1897	3	15	Gudin De Vallerin Maurice
 1897	4	3	Amico Silvio
 1897	4	29	Thys Ivan
 1897	5	5	Sardier Gilbert
 1897	5	8	Grani Umberto
 1897	5	8	Larnoe Henri
 1897	5	31	Vigone Adolfo
 1897	7	27	Baloncieri Adolfo
 1897	8	4	Baldini Mario
 1897	8	15	Arrachart Ludovic
 1897	8	21	Del Prete Carlo
 1897	10	10	Matton Jules
 1897	11	3	Gonnet Charles
 1897	11	4	Lacquehay Charles
# 無資料
 1897	11	5	Gillis Maurice
 1897	11	26	Accard Robert
 1898	1	23	Corniglion-Molinier Edward
 1898	2	8	Fierens Andre
 1898	2	8	Pini Egidio
 1898	2	18	Jaureguy Adolphe
 1898	2	27	Bastie Maryse
 1898	3	16	Billac Eugene
 1898	4	10	Harispe Albert
 1898	4	17	De Baets Gerard
 1898	5	14	Valin Martial
 1898	5	15	Padou Henri
 1898	5	20	Nessler Eric
 1898	7	20	Challe Leon
 1898	8	13	Borotra Jean
 1898	8	21	Majorana Antonio
 1898	8	25	Paris Paulin
 1898	8	27	Dedieu Rene
 1898	9	28	Borzacchini Baconico
 1898	10	18	Behoteguy Henri
 1898	10	18	Biondetti Clemente
 1898	12	11	Dallemagne Marcel
 1898	12	12	Van Kempen Pieter
 1898	12	18	Visconti Modrone Marcello
 1898	12	21	Verschelden Jules
 1898	12	26	Martin Hector
 1899	1	1	Bizard Xavier
 1899	1	19	Boesman Gustave
 1899	2	7	Crabos Rene
 1899	2	22	Lebrix Joseph
 1899	3	1	Van Nek Klaas
 1899	3	9	Devaquez Jules
 1899	4	11	Dupont Clement
 1899	5	6	Vallazza Ermanno
 1899	5	7	Camicas Fernand
 1899	5	14	Piteu Roger
 1899	5	15	Giordano Gennaro
 1899	5	24	Lenglen Suzanne
 1899	6	14	Matthews Croze Paulette
 1899	7	3	Wallet Urbain
 1899	7	28	Bonnardel Philippe
 1899	8	3	Chiron Louis
 1899	8	3	Mazzaron Anton
 1899	8	14	Bousquet Adolphe
 1899	8	26	Faucheux Lucien
 1899	8	28	Suster Vittorio
 1899	10	1	Guillemont Joseph
 1899	10	8	Petit Rene
 1899	10	21	Legendre Rene
 1899	10	30	Goosens Pier
 1899	11	3	Vervaecke Julien
 1899	11	4	Frantz Niklaas
 1899	11	4	Nicolas Paul
 1899	11	11	Ghijsels Leandre
 1899	11	15	Caudron Jean
 1899	12	1	Wiriath Rene
 1899	12	8	Borde Francois
 1899	12	12	Martinez Hoz Gaston
 1900	3	2	Hymans Max
 1900	3	4	Bastin Desire
 1900	3	9	Moeschal Jacques
 1900	5	17	Benoit Adelin
# 無資料
 1900	7	10	Coquelin Lisle Pierre
 1900	7	16	Routis Andre
 1900	7	24	Bernard Henri
 1900	7	24	Debusscher Jan
 1900	10	7	Francois Roger
 1900	10	11	Got Raoul
 1900	10	15	Bonini Guido
 1900	10	19	Behoteguy Andre
 1900	10	26	Braine Pierre
 1900	10	31	Bertocco Giuseppe
 1900	12	6	Darraidou Auguste
 1900	12	29	Ho Ydonckx Nicolaas
 1901	1	8	Constant Eugene
 1901	2	4	Bousquet Rene
 1901	2	8	Conti Roger
 1901	2	13	Boyer Jean
 1901	2	21	Lewden Pierre
 1901	3	7	Hilsz Marie
 1901	3	12	Plaa Martin
 1901	3	17	Bioussa Alexandre
 1901	4	2	Sempe Gabriel
 1901	4	20	Genot Lucien
 1901	6	7	Biani Vinzenzo
 1901	6	15	Gallo Luigi
 1901	6	15	Piquiral Etienne
 1901	6	28	Degrelle Maurice
 1901	7	19	Eysker Gerrit
 1901	8	17	Chasserau Louis
 1901	8	29	Pele Roger
 1901	11	10	Marchal Robert
 1901	12	1	Reine Marcel
 1901	12	8	Dabry Jean
 1901	12	9	Mermoz Jean
 1901	12	14	Cochet Henri
 1901	12	14	Desloges Suzanne
 1901	12	22	Gramo Felice
 1901	12	25	Cagna Stefano
 1901	12	30	Spotorno Franco
 1902	1	13	Dal Molin Tommaso
 1902	2	24	Rosetta Virgilio
 1902	3	25	Van Slembroeck Gustaf
 1902	3	29	Ramis Roger
 1902	4	8	Mascart Edouard
 1902	4	26	Chassin Lionel
 1902	5	3	Le Quellec Yan
 1902	5	4	Beonio Brocchieri Vittorio
